id,status,_server_id,text,span_label.responses,span_label.responses.users,span_label.responses.status
6b756cbd-501c-4c1a-8d7a-7b08aaddaf9d,completed,79d3d486-57fe-4843-ad7f-1d1b90d9c03c,jatoba serrada em pranchao,"[array([{'end': 6, 'label': 'ESPECIE', 'start': 0},
        {'end': 26, 'label': 'CORTE', 'start': 18}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
62782ed5-4402-4aad-8141-6cf564720ee2,completed,3bc9611b-22b2-4c8a-85dd-8e688b070945,"sarrafo - cumaru-amarelo (dipteryx odorata) bruto, normal, fas, ad, 25,00mm a 28,00mm x 50,00mm x 3,00m a 7,50m","[array([{'end': 8, 'label': 'CORTE', 'start': 0},
        {'end': 24, 'label': 'ESPECIE', 'start': 10},
        {'end': 42, 'label': 'ESPECIE', 'start': 26},
        {'end': 75, 'label': 'DIMENSÃO', 'start': 68},
        {'end': 85, 'label': 'DIMENSÃO', 'start': 78},
        {'end': 103, 'label': 'DIMENSÃO', 'start': 98},
        {'end': 111, 'label': 'DIMENSÃO', 'start': 106}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
f0a1c27f-9323-4774-9574-e60749e22c9e,completed,e2ed987b-319e-43ab-89a8-c9172ba486af,linha angelim 5x13cm 3.50mts,"[array([{'end': 5, 'label': 'CORTE', 'start': 0},
        {'end': 13, 'label': 'ESPECIE', 'start': 6},
        {'end': 20, 'label': 'DIMENSÃO', 'start': 14},
        {'end': 28, 'label': 'DIMENSÃO', 'start': 21}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
bab5e479-6148-40b3-af6d-1001bc5ebe8b,completed,8f9c6263-7128-48f2-99ac-67939a344c5f,tauari madeira serr em ripas,"[array([{'end': 6, 'label': 'ESPECIE', 'start': 0},
        {'end': 28, 'label': 'CORTE', 'start': 23}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
caf28abc-8064-4d42-9465-00f07f699480,completed,fa8d4d84-126f-45ad-bfa4-b90a59a7b307,pinus - sarrafo aparelhado de 4 x 10 cm,"[array([{'end': 6, 'label': 'ESPECIE', 'start': 0},
        {'end': 15, 'label': 'CORTE', 'start': 8},
        {'end': 39, 'label': 'DIMENSÃO', 'start': 30}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
6fe78c74-2f35-41f7-9e24-56e489249238,completed,1a8bb761-b3d6-4da0-a7b6-f65e1bd716ee,pequiarana madeira serrada tabua taipa,"[array([{'end': 10, 'label': 'ESPECIE', 'start': 0},
        {'end': 32, 'label': 'CORTE', 'start': 27},
        {'end': 38, 'label': 'CORTE', 'start': 33}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
36162081-08c1-4e63-80a0-856a93323617,completed,36b69a20-ccf3-4d08-9ea6-37542630470e,quaruba cedro serrado em tabua,"[array([{'end': 30, 'label': 'CORTE', 'start': 25},
        {'end': 7, 'label': 'ESPECIE', 'start': 0},
        {'end': 13, 'label': 'ESPECIE', 'start': 8}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
0e8b6723-aab5-43ff-9326-9e03b7048956,completed,ac6ac6d0-da60-46b5-bda7-ce63ec955ccb,madeira serrada caibro piptadenia suaveolens - timborana,"[array([{'end': 22, 'label': 'CORTE', 'start': 16},
        {'end': 44, 'label': 'ESPECIE', 'start': 23},
        {'end': 56, 'label': 'ESPECIE', 'start': 47}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
f893d350-dcee-43ae-b7fb-4449ef2ae37f,completed,9a437aa2-b0ec-4e08-9774-63cf23d3a9e8,amapa-doce serrada em tabua (taipa),"[array([{'end': 10, 'label': 'ESPECIE', 'start': 0},
        {'end': 34, 'label': 'CORTE', 'start': 29},
        {'end': 27, 'label': 'CORTE', 'start': 22}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
87e25da5-e1d0-4984-b1ad-3cfa1bad2643,completed,6c372ecc-c68c-4ac0-9d0e-0f3104fc74d1,caibros 3x5 misto,"[array([{'end': 7, 'label': 'CORTE', 'start': 0},
        {'end': 17, 'label': 'ESPECIE', 'start': 12},
        {'end': 11, 'label': 'DIMENSÃO', 'start': 8}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
d1bcc7e0-4d23-4200-94f1-ca21e0b221aa,completed,eff24e06-6213-4e63-987b-2c6073bd6b7f,cumarurana serrada em pranchas,"[array([{'end': 10, 'label': 'ESPECIE', 'start': 0},
        {'end': 30, 'label': 'CORTE', 'start': 22}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
388c1889-ae73-4bee-8a76-724460182771,completed,9ae800b0-9e87-4d6b-ab9f-09e88577ce86,madeira serrada tipo (viga)-taxi,"[array([{'end': 26, 'label': 'CORTE', 'start': 22},
        {'end': 32, 'label': 'ESPECIE', 'start': 28}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
a83c5cf2-249e-4135-b9e7-6f02bdea42c8,completed,f92dcde8-6849-4d39-841d-002fd2bc61f7,tauari serrado em sarrafo,"[array([{'end': 6, 'label': 'ESPECIE', 'start': 0},
        {'end': 25, 'label': 'CORTE', 'start': 18}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
d8748933-110a-41a8-b069-6a002f272d51,completed,9839241a-88a0-45f1-bb0f-a3f353156d2e,madeira serrada em vigotas na especie andiroba,"[array([{'end': 26, 'label': 'CORTE', 'start': 19},
        {'end': 46, 'label': 'ESPECIE', 'start': 38}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
2e6fd629-604f-426e-a76f-f399af251841,completed,6325cc27-7960-4c15-8770-fa3a7e3af705,madeira serrada em sarrafos da essencia - cedro,"[array([{'end': 27, 'label': 'CORTE', 'start': 19},
        {'end': 47, 'label': 'ESPECIE', 'start': 42}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
7190e022-5464-49bc-90cf-ad1987d2ad06,completed,7deac0be-65e7-4a9e-9474-5dbeb4895e05,fava - branca - serrada em ripas,"[array([{'end': 13, 'label': 'ESPECIE', 'start': 0},
        {'end': 32, 'label': 'CORTE', 'start': 27}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
65c2e1ac-db23-4d91-88f7-51aedcb11db3,completed,32f45b18-0b36-47bc-ae11-9e70712a7931,guajara caibro curto,"[array([{'end': 7, 'label': 'ESPECIE', 'start': 0},
        {'end': 14, 'label': 'CORTE', 'start': 8}], dtype=object)]",['05d4e3c7-2456-43e7-9d6b-0dd8f0661825'],['submitted']
